26/Mar/2020:09:45:24 +0000 ::ffff:180.106.101.148 GET /otsmobile/app/mgs/mgw.htm?operationType=com.cars.otsmobile.queryLeftTicket&requestData=%5B%7B%22train_date%22%3A%2220200331%22%2C%22purpose_codes%22%3A%2200%22%2C%22from_station%22%3A%22SHH%22%2C%22to_station%22%3A%22CNW%22%2C%22station_train_code%22%3A%22%22%2C%22start_time_begin%22%3A%220000%22%2C%22start_time_end%22%3A%222400%22%2C%22train_headers%22%3A%22QB%23%22%2C%22train_flag%22%3A%22%22%2C%22seat_type%22%3A%220%22%2C%22seatBack_Type%22%3A%22%22%2C%22ticket_num%22%3A%22%22%2C%22dfpStr%22%3A%22%22%2C%22baseDTO%22%3A%7B%22check_code%22%3A%22491040afb1cdda47a2158f8689de93ee%22%2C%22device_no%22%3A%22460062344310576%7C860878030813347%7C4XgMSmKgpt%22%2C%22mobile_no%22%3A%22%22%2C%22os_type%22%3A%22a%22%2C%22time_str%22%3A%2220200326174524%22%2C%22user_name%22%3A%22%22%2C%22version_no%22%3A%224.3.11%22%7D%7D%5D&ts=1585215924032&sign= 404 {}
26/Mar/2020:14:08:04 +0000 ::ffff:192.168.0.1 GET /notes 200 {}
26/Mar/2020:14:08:32 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:14:35 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:14:43 +0000 ::ffff:192.168.0.1 GET /notes 304 {}
26/Mar/2020:14:14:45 +0000 ::ffff:192.168.0.1 GET /api/logout 302 {}
26/Mar/2020:14:14:45 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:17:21 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:17:21 +0000 ::ffff:192.168.0.1 GET /favicon.ico 200 {}
26/Mar/2020:14:17:45 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:18:07 +0000 ::ffff:192.168.0.1 GET / 200 {}
26/Mar/2020:14:18:08 +0000 ::ffff:192.168.0.1 GET /favicon.ico 200 {}
26/Mar/2020:14:18:30 +0000 ::ffff:192.168.0.1 POST /api/login 302 {"username":"ericg","password":"1234"}
26/Mar/2020:14:18:30 +0000 ::ffff:192.168.0.1 GET /notes 200 {}
26/Mar/2020:14:34:07 +0000 ::ffff:192.168.0.1 GET /notes 302 {}
26/Mar/2020:14:34:07 +0000 ::ffff:192.168.0.1 GET / 200 {}
26/Mar/2020:14:34:08 +0000 ::ffff:192.168.0.1 GET /favicon.ico 200 {}
26/Mar/2020:14:56:20 +0000 ::ffff:192.168.0.1 GET / 200 {}
26/Mar/2020:14:56:21 +0000 ::ffff:192.168.0.1 GET /favicon.ico 200 {}
26/Mar/2020:17:04:56 +0000 ::ffff:129.211.9.250 GET /TP/public/index.php 404 {}
26/Mar/2020:17:04:57 +0000 ::ffff:129.211.9.250 GET /TP/index.php 404 {}
26/Mar/2020:17:04:58 +0000 ::ffff:129.211.9.250 GET /thinkphp/html/public/index.php 404 {}
26/Mar/2020:17:04:58 +0000 ::ffff:129.211.9.250 GET /html/public/index.php 404 {}
26/Mar/2020:17:04:59 +0000 ::ffff:129.211.9.250 GET /public/index.php 404 {}
26/Mar/2020:17:04:59 +0000 ::ffff:129.211.9.250 GET /TP/html/public/index.php 404 {}
26/Mar/2020:17:05:00 +0000 ::ffff:129.211.9.250 GET /elrekt.php 404 {}
26/Mar/2020:17:05:04 +0000 ::ffff:129.211.9.250 GET /index.php 404 {}
26/Mar/2020:17:05:06 +0000 ::ffff:129.211.9.250 GET / 200 {}
26/Mar/2020:17:23:37 +0000 ::ffff:49.229.22.10 GET /w00tw00t.at.ISC.SANS.DFind:) 404 {}
26/Mar/2020:17:23:49 +0000 ::ffff:110.249.212.46 GET http://110.249.212.46/testget?q=23333&port=80 404 {}
26/Mar/2020:17:23:49 +0000 ::ffff:110.249.212.46 GET http://110.249.212.46/testget?q=23333&port=80 404 {}
26/Mar/2020:17:23:50 +0000 ::ffff:110.249.212.46 GET http://110.249.212.46/testget?q=23333&port=80 404 {}
27/Mar/2020:13:03:30 +0000 ::ffff:192.168.0.1 GET / 200 {}
